                          ----	 -----	                ------	 -----	              program	  no	       otherFunctions


                        ------	 -----	                 -----	 ------	                 ROOT	  no	                 ----


                          ----	 -----	                ------	 -----	              program	  no	         mainFunction


                           int	    18	                TK_INT	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                            b3	    18	                 TK_ID	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         mainFunction	  no	         declarations


                          real	    19	               TK_REAL	 ------	             dataType	 yes	                 ----


                          ----	 -----	                ------	 -----	          declaration	  no	             dataType


                          ----	 -----	                ------	 -----	         declarations	  no	          declaration


                        c4bd56	    19	                 TK_ID	 ------	          declaration	 yes	                 ----


                          ----	 -----	                ------	 -----	         declarations	  no	         declarations


                            b3	    20	                 TK_ID	 ------	        singleOrRecId	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	        singleOrRecId


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                             7	    20	                TK_NUM	      7	                 ROOT	 yes	                 ----


                          ----	 -----	                ------	 -----	                 term	  no	               factor


                          ----	 -----	                ------	 -----	 arithmeticExpression	  no	                 term


                          ----	 -----	                ------	 -----	                 stmt	  no	 arithmeticExpression


                          ----	 -----	                ------	 -----	         mainFunction	  no	           otherStmts


                        c4bd56	    21	                 TK_ID	 ------	     outputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	     outputParameters


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                         _sumN	    21	              TK_FUNID	 ------	                 stmt	 yes	                 ----


                            b3	    21	                 TK_ID	 ------	      inputParameters	 yes	                 ----


                          ----	 -----	                ------	 -----	                 stmt	  no	      inputParameters


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts


                        c4bd56	    22	                 TK_ID	 ------	                 stmt	 yes	                 ----


                          ----	 -----	                ------	 -----	           otherStmts	  no	                 stmt


                          ----	 -----	                ------	 -----	           otherStmts	  no	           otherStmts
